backend;dimension_code;dimension;n_pairs;mean_av1;mean_av2;mean_combined;observed_agreement_pct;quadratic_weighted_kappa;note
GPT-5.2;alignment;Alinhamento ao erro principal;30;1,77;1,83;1,8;86,7;0,774;
GPT-5.2;actionability;Acionabilidade;30;1,77;1,87;1,82;83,3;0,67;
GPT-5.2;stage_fit;Adequação ao estado da submissão;30;1,93;1,87;1,9;93,3;0,789;
GPT-5.2;clarity;Clareza e estrutura;30;2;2;2;100;;Kappa indefinido por ausência de variação
GPT-5.2;no_solution_leak;Ausência de vazamento de solução;30;2;2;2;100;;Kappa indefinido por ausência de variação
Gemini 3 Flash Preview;alignment;Alinhamento ao erro principal;30;1,63;1,57;1,6;73,3;0,698;
Gemini 3 Flash Preview;actionability;Acionabilidade;30;1,6;1,77;1,68;70;0,416;
Gemini 3 Flash Preview;stage_fit;Adequação ao estado da submissão;30;1,93;1,97;1,95;96,7;0,795;
Gemini 3 Flash Preview;clarity;Clareza e estrutura;30;1,97;1,97;1,97;100;1;
Gemini 3 Flash Preview;no_solution_leak;Ausência de vazamento de solução;30;2;2;2;100;;Kappa indefinido por ausência de variação
