case_id;backend;stage;error_type;has_tests;tests_total;tests_passed;pass_ratio_eff;score_av1;score_av2;score_avg;score_exact_agreement;score_abs_diff;alignment_av1;alignment_av2;alignment_avg;actionability_av1;actionability_av2;actionability_avg;stage_fit_av1;stage_fit_av2;stage_fit_avg;clarity_av1;clarity_av2;clarity_avg;no_solution_leak_av1;no_solution_leak_av2;no_solution_leak_avg
P001;GPT-5.2;S4;correct_or_near;VERDADEIRO;3;3;1;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P002;GPT-5.2;S4;correct_or_near;VERDADEIRO;2;2;1;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P003;GPT-5.2;S1;io_format;VERDADEIRO;3;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P004;GPT-5.2;S1;io_format;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P005;GPT-5.2;S1;io_format;VERDADEIRO;2;0;0;5;4;4,5;FALSO;1;0;0;0;0;0;0;1;0;0,5;2;2;2;2;2;2
P006;GPT-5.2;S1;io_format;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P007;GPT-5.2;S3;io_format;VERDADEIRO;2;1;0,5;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P008;GPT-5.2;S3;io_format;VERDADEIRO;2;1;0,5;10;9;9,5;FALSO;1;2;1;1,5;2;2;2;2;2;2;2;2;2;2;2;2
P009;GPT-5.2;S3;io_format;VERDADEIRO;2;1;0,5;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P010;GPT-5.2;S1;logic_tests;VERDADEIRO;2;0;0;5;5;5;VERDADEIRO;0;0;0;0;0;1;0,5;1;0;0,5;2;2;2;2;2;2
P011;GPT-5.2;S1;logic_tests;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P012;GPT-5.2;S1;logic_tests;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P013;GPT-5.2;S1;logic_tests;VERDADEIRO;1;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P014;GPT-5.2;S3;logic_tests;VERDADEIRO;2;1;0,5;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P015;GPT-5.2;S3;logic_tests;VERDADEIRO;3;2;0,666666667;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P016;GPT-5.2;S3;logic_tests;VERDADEIRO;3;2;0,666666667;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P017;GPT-5.2;S1;runtime;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P018;GPT-5.2;S1;runtime;VERDADEIRO;2;0;0;10;9;9,5;FALSO;1;2;2;2;2;1;1,5;2;2;2;2;2;2;2;2;2
P019;GPT-5.2;S1;runtime;VERDADEIRO;3;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P020;GPT-5.2;S1;runtime;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P021;GPT-5.2;S2;runtime;VERDADEIRO;3;1;0,333333333;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P022;GPT-5.2;S3;runtime;VERDADEIRO;2;1;0,5;8;10;9;FALSO;2;1;2;1,5;1;2;1,5;2;2;2;2;2;2;2;2;2
P023;GPT-5.2;S3;runtime;VERDADEIRO;3;2;0,666666667;8;10;9;FALSO;2;1;2;1,5;1;2;1,5;2;2;2;2;2;2;2;2;2
P024;GPT-5.2;S3;runtime;VERDADEIRO;3;2;0,666666667;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P025;GPT-5.2;S1;syntax;VERDADEIRO;2;0;0;8;10;9;FALSO;2;1;2;1,5;1;2;1,5;2;2;2;2;2;2;2;2;2
P026;GPT-5.2;S1;syntax;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
P027;GPT-5.2;S1;syntax;VERDADEIRO;2;0;0;10;10;10;VERDADEIRO;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
